et,c,lat,long,fat
Battle-No change of territory,Algeria,36.71182,4.04591,1
Battle-No change of territory,Algeria,36.75,4.25,1
Battle-No change of territory,Algeria,36.64997,3.3308,1
Battle-No change of territory,Algeria,36.64997,3.3308,1
Battle-No change of territory,Algeria,36.83861,3.73278,2
Battle-No change of territory,Algeria,36.7723,5.95728,1
Battle-No change of territory,Algeria,36.76736,3.47717,2
Battle-No change of territory,Algeria,27,-1,7
Battle-No change of territory,Algeria,19.9537,2.9701,4
Battle-No change of territory,Algeria,36.7667,3.4772,2
Battle-No change of territory,Algeria,36.66774,3.59115,7
Battle-No change of territory,Algeria,36.7667,3.4772,4
Battle-No change of territory,Algeria,36.75,3.66667,7
Battle-No change of territory,Algeria,36.74328,3.7173,2
Battle-No change of territory,Algeria,36.76736,3.47717,1
Battle-No change of territory,Algeria,36.72218,3.66719,1
Battle-No change of territory,Algeria,36.7071,3.84258,3
Battle-No change of territory,Algeria,36.58839,3.77445,1
Battle-No change of territory,Algeria,36.12139,2.20444,1
Battle-No change of territory,Algeria,36.91716,3.91311,0
Battle-No change of territory,Algeria,36.76736,3.47717,2
Battle-No change of territory,Algeria,34.715913,7.199725,0
Battle-No change of territory,Algeria,35,7,9
Battle-No change of territory,Algeria,36.7169,4.0497,1
Battle-No change of territory,Algeria,36.817,4.3,1
Battle-No change of territory,Algeria,35.43333,7.13333,0
Battle-No change of territory,Algeria,36.74688,4.87283,0
Battle-No change of territory,Algeria,35.43333,7.13333,0
Battle-No change of territory,Algeria,36.59838,6.7508,0
Battle-No change of territory,Algeria,36.81694,3.85722,0
Battle-No change of territory,Algeria,19.9537,2.9701,20
Battle-No change of territory,Algeria,36.68178,4.26378,4
Battle-No change of territory,Algeria,36.5602,3.5896,2
Battle-No change of territory,Algeria,36.624812,3.477879,2
Battle-No change of territory,Algeria,36.300739,3.985977,1
Battle-No change of territory,Algeria,36.2681,1.9675,0
Battle-No change of territory,Algeria,36.776292,5.934162,1
Battle-No change of territory,Algeria,36.895513,4.420066,2
Battle-No change of territory,Algeria,36.843224,4.043999,1
Battle-No change of territory,Algeria,36.262511,0.763668,0
Battle-No change of territory,Algeria,36.821791,3.850193,1
Battle-No change of territory,Algeria,36.681783,4.263781,2
Battle-No change of territory,Algeria,36.382596,1.856689,1
Battle-No change of territory,Algeria,36.817,4.3,0
Battle-No change of territory,Algeria,36.841122,4.145339,3
Battle-No change of territory,Algeria,36.521992,4.204931,2
Battle-No change of territory,Algeria,36.526433,4.27748,0
Battle-No change of territory,Algeria,36.4686,2.8289,1
