OBJECTID,ISO,NAME,BATTLES,SUMfat,MEANfat
723,DZA,Algeria,0,0,0
724,DZA,Algeria,0,0,0
725,DZA,Algeria,0,0,0
726,DZA,Algeria,0,0,0
727,DZA,Algeria,0,0,0
728,DZA,Algeria,0,0,0
729,DZA,Algeria,0,0,0
730,DZA,Algeria,0,0,0
731,DZA,Algeria,0,0,0
732,DZA,Algeria,0,0,0
733,DZA,Algeria,0,0,0
734,DZA,Algeria,0,0,0
735,DZA,Algeria,0,0,0
736,DZA,Algeria,0,0,0
737,DZA,Algeria,0,0,0
738,DZA,Algeria,0,0,0
739,DZA,Algeria,0,0,0
740,DZA,Algeria,0,0,0
741,DZA,Algeria,0,0,0
742,DZA,Algeria,0,0,0
743,DZA,Algeria,0,0,0
744,DZA,Algeria,0,0,0
745,DZA,Algeria,0,0,0
746,DZA,Algeria,0,0,0
747,DZA,Algeria,0,0,0
748,DZA,Algeria,0,0,0
749,DZA,Algeria,0,0,0
750,DZA,Algeria,0,0,0
751,DZA,Algeria,0,0,0
752,DZA,Algeria,0,0,0
753,DZA,Algeria,0,0,0
754,DZA,Algeria,0,0,0
755,DZA,Algeria,0,0,0
756,DZA,Algeria,0,0,0
757,DZA,Algeria,0,0,0
758,DZA,Algeria,0,0,0
759,DZA,Algeria,0,0,0
760,DZA,Algeria,0,0,0
761,DZA,Algeria,0,0,0
762,DZA,Algeria,0,0,0
763,DZA,Algeria,0,0,0
764,DZA,Algeria,0,0,0
765,DZA,Algeria,0,0,0
766,DZA,Algeria,0,0,0
767,DZA,Algeria,0,0,0
768,DZA,Algeria,0,0,0
769,DZA,Algeria,0,0,0
770,DZA,Algeria,0,0,0
771,DZA,Algeria,0,0,0
772,DZA,Algeria,0,0,0
773,DZA,Algeria,0,0,0
774,DZA,Algeria,0,0,0
775,DZA,Algeria,0,0,0
776,DZA,Algeria,0,0,0
777,DZA,Algeria,0,0,0
778,DZA,Algeria,0,0,0
779,DZA,Algeria,0,0,0
780,DZA,Algeria,0,0,0
781,DZA,Algeria,0,0,0
782,DZA,Algeria,0,0,0
783,DZA,Algeria,0,0,0
784,DZA,Algeria,0,0,0
785,DZA,Algeria,0,0,0
