OBJECTID,ISO,COUNT
723,DZA,1
724,DZA,1
725,DZA,1
726,DZA,1
727,DZA,2
728,DZA,3
729,DZA,2
730,DZA,2
731,DZA,1
732,DZA,2
733,DZA,1
734,DZA,1
735,DZA,1
736,DZA,1
737,DZA,1
738,DZA,2
739,DZA,1
740,DZA,1
741,DZA,1
742,DZA,1
743,DZA,1
744,DZA,1
745,DZA,1
746,DZA,1
747,DZA,1
748,DZA,1
749,DZA,2
750,DZA,1
751,DZA,1
752,DZA,1
753,DZA,1
754,DZA,1
755,DZA,1
756,DZA,1
757,DZA,1
758,DZA,1
759,DZA,1
760,DZA,1
761,DZA,1
762,DZA,1
763,DZA,1
764,DZA,1
765,DZA,1
766,DZA,1
767,DZA,1
768,DZA,1
769,DZA,1
770,DZA,1
771,DZA,1
772,DZA,1
773,DZA,1
774,DZA,1
775,DZA,2
776,DZA,2
777,DZA,1
778,DZA,2
779,DZA,1
780,DZA,1
781,DZA,1
782,DZA,1
783,DZA,1
784,DZA,1
785,DZA,1
786,DZA,1
787,DZA,1
788,DZA,1
789,DZA,1
790,DZA,1
791,DZA,1
792,DZA,1
793,DZA,2
794,DZA,1
795,DZA,1
796,DZA,3
797,DZA,1
798,DZA,1
799,DZA,1
800,DZA,1
801,DZA,1
802,DZA,1
803,DZA,1
804,DZA,1
805,DZA,1
806,DZA,1
807,DZA,1
808,DZA,1
809,DZA,1
810,DZA,1
811,DZA,1
812,DZA,1
813,DZA,1
814,DZA,2
815,DZA,1
816,DZA,1
817,DZA,1
818,DZA,2
819,DZA,1
820,DZA,1
821,DZA,1
822,DZA,1
823,DZA,1
824,DZA,1
825,DZA,1
826,DZA,1
827,DZA,1
828,DZA,1
829,DZA,1
830,DZA,1
831,DZA,1
832,DZA,1
833,DZA,1
834,DZA,1
835,DZA,1
836,DZA,1
837,DZA,1
838,DZA,1
839,DZA,1
840,DZA,1
841,DZA,1
842,DZA,1
843,DZA,1
844,DZA,1
845,DZA,1
846,DZA,1
847,DZA,1
848,DZA,1
849,DZA,1
850,DZA,1
851,DZA,1
852,DZA,1
853,DZA,1
854,DZA,1
855,DZA,1
856,DZA,1
857,DZA,1
858,DZA,1
859,DZA,2
860,DZA,1
861,DZA,1
862,DZA,1
863,DZA,1
864,DZA,1
865,DZA,1
866,DZA,1
867,DZA,1
868,DZA,1
869,DZA,1
870,DZA,1
871,DZA,1
872,DZA,1
873,DZA,1
874,DZA,1
875,DZA,1
876,DZA,1
877,DZA,1
878,DZA,1
879,DZA,1
880,DZA,1
881,DZA,2
882,DZA,2
883,DZA,1
884,DZA,1
885,DZA,1
886,DZA,1
887,DZA,1
888,DZA,1
889,DZA,1
890,DZA,1
891,DZA,1
892,DZA,1
893,DZA,1
894,DZA,1
895,DZA,1
896,DZA,1
897,DZA,1
898,DZA,1
899,DZA,1
900,DZA,1
901,DZA,1
902,DZA,1
903,DZA,1
904,DZA,2
905,DZA,1
906,DZA,1
907,DZA,1
908,DZA,1
909,DZA,1
910,DZA,1
911,DZA,2
912,DZA,1
913,DZA,2
914,DZA,1
915,DZA,1
916,DZA,1
917,DZA,1
918,DZA,1
919,DZA,1
920,DZA,1
921,DZA,1
922,DZA,1
923,DZA,1
924,DZA,1
925,DZA,1
926,DZA,1
927,DZA,1
928,DZA,1
929,DZA,1
930,DZA,1
931,DZA,1
932,DZA,2
933,DZA,1
934,DZA,2
935,DZA,2
936,DZA,1
937,DZA,1
938,DZA,1
939,DZA,1
940,DZA,1
941,DZA,1
942,DZA,1
943,DZA,1
944,DZA,1
945,DZA,1
946,DZA,1
947,DZA,1
948,DZA,1
949,DZA,1
950,DZA,1
951,DZA,1
952,DZA,1
953,DZA,1
954,DZA,1
955,DZA,1
956,DZA,1
957,DZA,1
958,DZA,1
959,DZA,1
960,DZA,1
961,DZA,3
962,DZA,1
963,DZA,1
964,DZA,1
965,DZA,1
966,DZA,1
967,DZA,3
968,DZA,1
969,DZA,2
970,DZA,1
971,DZA,1
972,DZA,2
973,DZA,1
974,DZA,1
975,DZA,2
976,DZA,1
977,DZA,1
978,DZA,1
979,DZA,1
980,DZA,1
981,DZA,1
982,DZA,1
983,DZA,1
984,DZA,1
985,DZA,1
986,DZA,2
987,DZA,1
988,DZA,1
989,DZA,1
990,DZA,1
991,DZA,2
992,DZA,1
993,DZA,1
994,DZA,1
995,DZA,1
996,DZA,1
997,DZA,1
998,DZA,1
999,DZA,1
1000,DZA,1
1001,DZA,1
1002,DZA,1
1003,DZA,1
1004,DZA,1
1005,DZA,1
1006,DZA,2
1007,DZA,1
1008,DZA,1
1009,DZA,1
1010,DZA,2
1011,DZA,1
1012,DZA,1
1013,DZA,1
1014,DZA,1
1015,DZA,1
1016,DZA,1
1017,DZA,1
1018,DZA,1
1019,DZA,2
1020,DZA,1
1021,DZA,1
1022,DZA,1
1023,DZA,2
1024,DZA,1
1025,DZA,3
1026,DZA,1
1027,DZA,1
1028,DZA,1
1029,DZA,1
1030,DZA,1
1031,DZA,1
1032,DZA,1
1033,DZA,1
1034,DZA,1
1035,DZA,1
1036,DZA,1
1037,DZA,1
1038,DZA,1
1039,DZA,1
1040,DZA,1
1041,DZA,2
1042,DZA,1
1043,DZA,1
1044,DZA,2
1045,DZA,1
1046,DZA,1
1047,DZA,1
1048,DZA,1
1049,DZA,2
1050,DZA,1
1051,DZA,1
1052,DZA,2
1053,DZA,1
1054,DZA,2
1055,DZA,1
1056,DZA,1
1057,DZA,2
1058,DZA,2
1059,DZA,1
1060,DZA,1
1061,DZA,1
1062,DZA,1
1063,DZA,1
1064,DZA,1
1065,DZA,1
1066,DZA,1
1067,DZA,1
1068,DZA,1
1069,DZA,1
1070,DZA,2
1071,DZA,1
1072,DZA,1
1073,DZA,1
1074,DZA,1
1075,DZA,1
1076,DZA,1
1077,DZA,1
1078,DZA,1
1079,DZA,1
1080,DZA,1
1081,DZA,1
1082,DZA,1
1083,DZA,1
1084,DZA,1
1085,DZA,1
1086,DZA,1
1087,DZA,1
1088,DZA,1
1089,DZA,1
1090,DZA,1
1091,DZA,1
1092,DZA,1
1093,DZA,1
1094,DZA,1
1095,DZA,1
1096,DZA,1
1097,DZA,1
1098,DZA,1
1099,DZA,1
1100,DZA,1
1101,DZA,1
1102,DZA,2
1103,DZA,1
1104,DZA,1
1105,DZA,1
1106,DZA,1
1107,DZA,1
1108,DZA,1
1109,DZA,1
1110,DZA,1
1111,DZA,1
1112,DZA,1
1113,DZA,1
1114,DZA,1
1115,DZA,1
1116,DZA,1
1117,DZA,1
1118,DZA,1
1119,DZA,1
1120,DZA,1
1121,DZA,1
1122,DZA,1
1123,DZA,1
1124,DZA,1
1125,DZA,1
1126,DZA,1
1127,DZA,1
1128,DZA,1
1129,DZA,1
1130,DZA,1
1131,DZA,1
1132,DZA,1
1133,DZA,1
1134,DZA,1
1135,DZA,2
1136,DZA,1
1137,DZA,1
1138,DZA,2
1139,DZA,2
1140,DZA,1
1141,DZA,1
1142,DZA,1
1143,DZA,1
1144,DZA,1
1145,DZA,2
1146,DZA,2
1147,DZA,1
1148,DZA,1
1149,DZA,1
1150,DZA,1
1151,DZA,1
1152,DZA,1
1153,DZA,1
1154,DZA,1
1155,DZA,1
1156,DZA,1
1157,DZA,1
1158,DZA,1
1159,DZA,1
1160,DZA,1
1161,DZA,1
1162,DZA,1
1163,DZA,1
1164,DZA,1
1165,DZA,1
1166,DZA,2
1167,DZA,1
1168,DZA,1
1169,DZA,1
1170,DZA,2
1171,DZA,1
1172,DZA,1
1173,DZA,1
1174,DZA,1
1175,DZA,1
1176,DZA,1
1177,DZA,1
1178,DZA,1
1179,DZA,1
1180,DZA,1
1181,DZA,1
1182,DZA,2
1183,DZA,1
1184,DZA,1
1185,DZA,1
1186,DZA,1
1187,DZA,1
1188,DZA,1
1189,DZA,1
1190,DZA,1
1191,DZA,1
1192,DZA,1
1193,DZA,1
1194,DZA,1
1195,DZA,1
1196,DZA,1
1197,DZA,1
1198,DZA,1
1199,DZA,2
1200,DZA,1
1201,DZA,1
1202,DZA,1
1203,DZA,1
1204,DZA,1
1205,DZA,1
1206,DZA,1
1207,DZA,1
1208,DZA,1
1209,DZA,1
1210,DZA,1
1211,DZA,1
1212,DZA,1
1213,DZA,1
1214,DZA,1
1215,DZA,1
1216,DZA,2
1217,DZA,1
1218,DZA,1
1219,DZA,1
1220,DZA,2
1221,DZA,1
1222,DZA,1
1223,DZA,1
1224,DZA,2
1225,DZA,1
1226,DZA,1
1227,DZA,1
1228,DZA,1
1229,DZA,1
1230,DZA,1
1231,DZA,1
1232,DZA,1
1233,DZA,1
1234,DZA,1
1235,DZA,1
1236,DZA,1
1237,DZA,1
1238,DZA,1
1239,DZA,1
1240,DZA,1
1241,DZA,1
1242,DZA,1
1243,DZA,1
1244,DZA,2
1245,DZA,1
1246,DZA,1
1247,DZA,1
1248,DZA,1
1249,DZA,1
1250,DZA,1
1251,DZA,1
1252,DZA,1
1253,DZA,1
1254,DZA,1
1255,DZA,1
1256,DZA,1
1257,DZA,1
1258,DZA,1
1259,DZA,1
1260,DZA,1
1261,DZA,1
1262,DZA,1
1263,DZA,1
1264,DZA,1
1265,DZA,1
1266,DZA,2
1267,DZA,1
1268,DZA,2
1269,DZA,1
1270,DZA,1
1271,DZA,1
1272,DZA,1
1273,DZA,1
1274,DZA,2
1275,DZA,1
1276,DZA,1
1277,DZA,1
1278,DZA,1
1279,DZA,1
1280,DZA,1
1281,DZA,1
1282,DZA,1
1283,DZA,1
1284,DZA,2
1285,DZA,2
1286,DZA,1
1287,DZA,1
1288,DZA,1
1289,DZA,1
1290,DZA,1
1291,DZA,1
1292,DZA,1
1293,DZA,2
1294,DZA,1
1295,DZA,1
1296,DZA,1
1297,DZA,1
1298,DZA,1
1299,DZA,1
1300,DZA,1
1301,DZA,1
1302,DZA,1
1303,DZA,1
1304,DZA,1
1305,DZA,1
1306,DZA,1
1307,DZA,2
1308,DZA,1
1309,DZA,1
1310,DZA,1
1311,DZA,1
1312,DZA,2
1313,DZA,1
1314,DZA,1
1315,DZA,1
1316,DZA,1
1317,DZA,1
1318,DZA,1
1319,DZA,1
1320,DZA,1
1321,DZA,1
1322,DZA,1
1323,DZA,1
1324,DZA,1
1325,DZA,1
1326,DZA,1
1327,DZA,1
1328,DZA,1
1329,DZA,1
1330,DZA,2
1331,DZA,1
1332,DZA,1
1333,DZA,1
1334,DZA,1
1335,DZA,1
1336,DZA,1
1337,DZA,1
1338,DZA,1
1339,DZA,1
1340,DZA,1
1341,DZA,1
1342,DZA,1
1343,DZA,1
1344,DZA,1
1345,DZA,1
1346,DZA,1
1347,DZA,1
1348,DZA,1
1349,DZA,2
1350,DZA,1
1351,DZA,1
1352,DZA,1
1353,DZA,1
1354,DZA,1
1355,DZA,1
1356,DZA,2
1357,DZA,1
1358,DZA,1
1359,DZA,1
1360,DZA,2
1361,DZA,1
1362,DZA,1
1363,DZA,1
1364,DZA,1
1365,DZA,1
1366,DZA,1
1367,DZA,1
1368,DZA,1
1369,DZA,1
1370,DZA,1
1371,DZA,1
1372,DZA,1
1373,DZA,1
1374,DZA,1
1375,DZA,1
1376,DZA,1
1377,DZA,1
1378,DZA,1
1379,DZA,1
1380,DZA,1
1381,DZA,1
1382,DZA,1
1383,DZA,1
1384,DZA,1
1385,DZA,1
1386,DZA,1
1387,DZA,1
1388,DZA,1
1389,DZA,1
1390,DZA,1
1391,DZA,1
1392,DZA,1
1393,DZA,1
1394,DZA,1
1395,DZA,1
1396,DZA,1
1397,DZA,1
1398,DZA,1
1399,DZA,1
1400,DZA,1
1401,DZA,1
1402,DZA,1
1403,DZA,1
1404,DZA,1
1405,DZA,1
1406,DZA,1
1407,DZA,1
1408,DZA,1
1409,DZA,1
1410,DZA,1
1411,DZA,1
1412,DZA,1
1413,DZA,1
1414,DZA,1
1415,DZA,1
1416,DZA,1
1417,DZA,1
1418,DZA,1
1419,DZA,1
1420,DZA,1
1421,DZA,1
1422,DZA,1
1423,DZA,1
1424,DZA,1
1425,DZA,1
1426,DZA,1
1427,DZA,1
1428,DZA,1
1429,DZA,1
1430,DZA,1
1431,DZA,1
1432,DZA,1
1433,DZA,1
1434,DZA,1
1435,DZA,1
1436,DZA,1
1437,DZA,1
1438,DZA,1
1439,DZA,1
1440,DZA,1
1441,DZA,1
1442,DZA,1
1443,DZA,1
1444,DZA,2
1445,DZA,1
1446,DZA,1
1447,DZA,1
1448,DZA,1
1449,DZA,1
1450,DZA,1
1451,DZA,1
1452,DZA,1
1453,DZA,2
1454,DZA,3
1455,DZA,1
1456,DZA,3
1457,DZA,1
1458,DZA,2
1459,DZA,1
1460,DZA,2
1461,DZA,2
1462,DZA,1
1463,DZA,1
1464,DZA,2
1465,DZA,1
1466,DZA,1
1467,DZA,1
1468,DZA,1
1469,DZA,1
1470,DZA,1
1471,DZA,1
1472,DZA,1
1473,DZA,1
1474,DZA,2
1475,DZA,1
1476,DZA,1
1477,DZA,1
1478,DZA,2
1479,DZA,1
1480,DZA,1
1481,DZA,1
1482,DZA,1
1483,DZA,1
1484,DZA,1
1485,DZA,1
1486,DZA,1
1487,DZA,1
1488,DZA,1
1489,DZA,2
1490,DZA,2
1491,DZA,1
1492,DZA,1
1493,DZA,1
1494,DZA,1
1495,DZA,1
1496,DZA,2
1497,DZA,1
1498,DZA,1
1499,DZA,1
1500,DZA,1
1501,DZA,1
1502,DZA,1
1503,DZA,1
1504,DZA,2
1505,DZA,1
1506,DZA,2
1507,DZA,1
1508,DZA,1
1509,DZA,1
1510,DZA,2
1511,DZA,1
1512,DZA,1
1513,DZA,1
1514,DZA,1
1515,DZA,2
1516,DZA,1
1517,DZA,1
1518,DZA,1
1519,DZA,1
1520,DZA,1
1521,DZA,1
1522,DZA,1
1523,DZA,1
1524,DZA,1
1525,DZA,1
1526,DZA,1
1527,DZA,1
1528,DZA,1
1529,DZA,1
1530,DZA,1
1531,DZA,1
1532,DZA,1
1533,DZA,1
1534,DZA,1
1535,DZA,1
1536,DZA,1
1537,DZA,1
1538,DZA,1
1539,DZA,2
1540,DZA,2
1541,DZA,1
1542,DZA,1
1543,DZA,1
1544,DZA,1
1545,DZA,1
1546,DZA,1
1547,DZA,1
1548,DZA,1
1549,DZA,1
1550,DZA,1
1551,DZA,1
1552,DZA,1
1553,DZA,1
1554,DZA,1
1555,DZA,1
1556,DZA,1
1557,DZA,1
1558,DZA,1
1559,DZA,2
1560,DZA,1
1561,DZA,1
1562,DZA,1
1563,DZA,2
1564,DZA,1
1565,DZA,2
1566,DZA,1
1567,DZA,1
1568,DZA,1
1569,DZA,1
1570,DZA,1
1571,DZA,1
1572,DZA,2
1573,DZA,1
1574,DZA,1
1575,DZA,1
1576,DZA,1
1577,DZA,1
1578,DZA,1
1579,DZA,1
1580,DZA,1
1581,DZA,1
1582,DZA,2
1583,DZA,1
1584,DZA,1
1585,DZA,1
1586,DZA,1
1587,DZA,2
1588,DZA,1
1589,DZA,1
1590,DZA,1
1591,DZA,2
1592,DZA,2
1593,DZA,1
1594,DZA,1
1595,DZA,2
1596,DZA,1
1597,DZA,1
1598,DZA,1
1599,DZA,1
1600,DZA,1
1601,DZA,1
1602,DZA,1
1603,DZA,1
1604,DZA,1
1605,DZA,1
1606,DZA,1
1607,DZA,1
1608,DZA,1
1609,DZA,1
1610,DZA,2
1611,DZA,2
1612,DZA,1
1613,DZA,1
1614,DZA,1
1615,DZA,1
1616,DZA,1
1617,DZA,1
1618,DZA,1
1619,DZA,1
1620,DZA,1
1621,DZA,1
1622,DZA,1
1623,DZA,1
1624,DZA,1
1625,DZA,1
1626,DZA,2
1627,DZA,1
1628,DZA,2
1629,DZA,1
1630,DZA,2
1631,DZA,1
1632,DZA,1
1633,DZA,1
1634,DZA,1
1635,DZA,1
1636,DZA,1
1637,DZA,1
1638,DZA,2
1639,DZA,1
1640,DZA,2
1641,DZA,1
1642,DZA,1
1643,DZA,1
1644,DZA,1
1645,DZA,1
1646,DZA,1
1647,DZA,1
1648,DZA,1
1649,DZA,1
1650,DZA,1
1651,DZA,1
1652,DZA,1
1653,DZA,1
1654,DZA,1
1655,DZA,1
1656,DZA,1
1657,DZA,1
1658,DZA,1
1659,DZA,1
1660,DZA,1
1661,DZA,1
1662,DZA,1
1663,DZA,1
1664,DZA,1
1665,DZA,1
1666,DZA,1
1667,DZA,1
1668,DZA,1
1669,DZA,2
1670,DZA,1
1671,DZA,1
1672,DZA,1
1673,DZA,1
1674,DZA,1
1675,DZA,1
1676,DZA,1
1677,DZA,1
1678,DZA,1
1679,DZA,1
1680,DZA,1
1681,DZA,1
1682,DZA,1
1683,DZA,1
1684,DZA,1
1685,DZA,1
1686,DZA,1
1687,DZA,1
1688,DZA,1
1689,DZA,1
1690,DZA,1
1691,DZA,1
1692,DZA,1
1693,DZA,1
1694,DZA,1
1695,DZA,1
1696,DZA,1
1697,DZA,1
1698,DZA,1
1699,DZA,1
1700,DZA,1
1701,DZA,1
1702,DZA,1
1703,DZA,1
1704,DZA,1
1705,DZA,1
1706,DZA,1
1707,DZA,1
1708,DZA,1
1709,DZA,1
1710,DZA,1
1711,DZA,1
1712,DZA,1
1713,DZA,1
1714,DZA,1
1715,DZA,1
1716,DZA,1
1717,DZA,1
1718,DZA,1
1719,DZA,1
1720,DZA,1
1721,DZA,1
1722,DZA,1
1723,DZA,1
1724,DZA,1
1725,DZA,1
1726,DZA,1
1727,DZA,1
1728,DZA,1
1729,DZA,1
1730,DZA,1
1731,DZA,1
1732,DZA,1
1733,DZA,1
1734,DZA,1
1735,DZA,1
1736,DZA,1
1737,DZA,2
1738,DZA,1
1739,DZA,1
1740,DZA,1
1741,DZA,1
1742,DZA,1
1743,DZA,1
1744,DZA,1
1745,DZA,1
1746,DZA,1
1747,DZA,1
1748,DZA,1
1749,DZA,1
1750,DZA,1
1751,DZA,1
1752,DZA,1
1753,DZA,1
1754,DZA,1
1755,DZA,1
1756,DZA,1
1757,DZA,1
1758,DZA,1
1759,DZA,1
1760,DZA,1
1761,DZA,1
1762,DZA,1
1763,DZA,1
1764,DZA,1
1765,DZA,1
1766,DZA,1
1767,DZA,1
1768,DZA,1
1769,DZA,1
1770,DZA,1
1771,DZA,1
1772,DZA,1
1773,DZA,1
1774,DZA,1
1775,DZA,1
1776,DZA,1
1777,DZA,1
1778,DZA,1
1779,DZA,1
1780,DZA,1
1781,DZA,1
1782,DZA,1
1783,DZA,1
1784,DZA,1
1785,DZA,1
1786,DZA,1
1787,DZA,1
1788,DZA,1
1789,DZA,1
1790,DZA,1
1791,DZA,2
1792,DZA,1
1793,DZA,1
1794,DZA,1
1795,DZA,1
1796,DZA,1
1797,DZA,1
1798,DZA,1
1799,DZA,1
1800,DZA,1
1801,DZA,1
1802,DZA,1
1803,DZA,1
1804,DZA,1
1805,DZA,1
1806,DZA,1
1807,DZA,1
1808,DZA,1
1809,DZA,1
1810,DZA,1
1811,DZA,1
1812,DZA,1
1813,DZA,1
1814,DZA,1
1815,DZA,1
1816,DZA,1
1817,DZA,1
1818,DZA,1
1819,DZA,1
1820,DZA,1
1821,DZA,1
1822,DZA,1
1823,DZA,1
1824,DZA,1
1825,DZA,1
1826,DZA,1
1827,DZA,1
1828,DZA,1
1829,DZA,1
1830,DZA,1
1831,DZA,1
1832,DZA,1
1833,DZA,1
1834,DZA,1
1835,DZA,1
1836,DZA,1
1837,DZA,1
1838,DZA,1
1839,DZA,1
1840,DZA,1
1841,DZA,1
1842,DZA,1
1843,DZA,1
1844,DZA,1
1845,DZA,1
1846,DZA,1
1847,DZA,1
1848,DZA,1
1849,DZA,1
1850,DZA,1
1851,DZA,1
1852,DZA,1
1853,DZA,1
1854,DZA,1
1855,DZA,1
1856,DZA,1
1857,DZA,1
1858,DZA,1
1859,DZA,1
1860,DZA,1
1861,DZA,1
1862,DZA,1
1863,DZA,1
1864,DZA,1
1865,DZA,1
1866,DZA,1
1867,DZA,1
1868,DZA,1
1869,DZA,1
1870,DZA,1
1871,DZA,1
1872,DZA,2
1873,DZA,1
1874,DZA,1
1875,DZA,1
1876,DZA,1
1877,DZA,1
1878,DZA,1
1879,DZA,1
1880,DZA,1
1881,DZA,1
1882,DZA,1
1883,DZA,1
1884,DZA,1
1885,DZA,1
1886,DZA,1
1887,DZA,1
1888,DZA,1
1889,DZA,1
1890,DZA,1
1891,DZA,1
1892,DZA,1
1893,DZA,1
1894,DZA,1
1895,DZA,1
1896,DZA,2
1897,DZA,1
1898,DZA,1
1899,DZA,1
1900,DZA,1
1901,DZA,1
1902,DZA,2
1903,DZA,1
1904,DZA,2
1905,DZA,1
1906,DZA,1
1907,DZA,1
1908,DZA,1
1909,DZA,1
1910,DZA,1
1911,DZA,3
1912,DZA,1
1913,DZA,2
1914,DZA,1
1915,DZA,1
1916,DZA,1
1917,DZA,1
1918,DZA,2
1919,DZA,1
1920,DZA,1
1921,DZA,1
1922,DZA,1
1923,DZA,1
1924,DZA,1
1925,DZA,1
1926,DZA,1
1927,DZA,1
1928,DZA,1
1929,DZA,1
1930,DZA,1
1931,DZA,1
1932,DZA,1
1933,DZA,1
1934,DZA,1
1935,DZA,1
1936,DZA,1
1937,DZA,1
1938,DZA,2
1939,DZA,1
1940,DZA,1
1941,DZA,1
1942,DZA,1
1943,DZA,1
1944,DZA,1
1945,DZA,1
1946,DZA,1
1947,DZA,3
1948,DZA,1
1949,DZA,2
1950,DZA,1
1951,DZA,2
1952,DZA,1
1953,DZA,1
1954,DZA,1
1955,DZA,1
1956,DZA,3
1957,DZA,1
1958,DZA,1
1959,DZA,2
1960,DZA,1
1961,DZA,1
1962,DZA,1
1963,DZA,1
1964,DZA,2
1965,DZA,1
1966,DZA,1
1967,DZA,1
1968,DZA,1
1969,DZA,1
1970,DZA,1
1971,DZA,1
1972,DZA,2
1973,DZA,1
1974,DZA,1
1975,DZA,1
1976,DZA,1
1977,DZA,1
1978,DZA,1
1979,DZA,1
1980,DZA,2
1981,DZA,1
1982,DZA,1
1983,DZA,2
1984,DZA,2
1985,DZA,1
1986,DZA,1
1987,DZA,1
1988,DZA,1
1989,DZA,1
1990,DZA,1
1991,DZA,1
1992,DZA,1
1993,DZA,1
1994,DZA,1
1995,DZA,1
1996,DZA,1
1997,DZA,1
1998,DZA,1
1999,DZA,1
2000,DZA,1
2001,DZA,1
2002,DZA,1
2003,DZA,2
2004,DZA,1
2005,DZA,1
2006,DZA,1
2007,DZA,1
2008,DZA,1
2009,DZA,1
2010,DZA,1
2011,DZA,1
2012,DZA,1
2013,DZA,1
2014,DZA,1
2015,DZA,1
2016,DZA,1
2017,DZA,1
2018,DZA,1
2019,DZA,2
2020,DZA,1
2021,DZA,1
2022,DZA,1
2023,DZA,1
2024,DZA,1
2025,DZA,1
2026,DZA,1
2027,DZA,2
2028,DZA,1
2029,DZA,1
2030,DZA,2
2031,DZA,1
2032,DZA,1
2033,DZA,1
2034,DZA,1
2035,DZA,1
2036,DZA,1
2037,DZA,1
2038,DZA,1
2039,DZA,1
2040,DZA,1
2041,DZA,1
2042,DZA,1
2043,DZA,1
2044,DZA,1
2045,DZA,1
2046,DZA,1
2047,DZA,1
2048,DZA,1
2049,DZA,1
2050,DZA,1
2051,DZA,1
2052,DZA,1
2053,DZA,1
2054,DZA,1
2055,DZA,2
2056,DZA,1
2057,DZA,1
2058,DZA,2
2059,DZA,1
2060,DZA,1
2061,DZA,1
2062,DZA,1
2063,DZA,1
2064,DZA,1
2065,DZA,1
2066,DZA,1
2067,DZA,1
2068,DZA,1
2069,DZA,1
2070,DZA,1
2071,DZA,2
2072,DZA,1
2073,DZA,1
2074,DZA,1
2075,DZA,1
2076,DZA,1
2077,DZA,2
2078,DZA,1
2079,DZA,1
2080,DZA,1
2081,DZA,1
2082,DZA,1
2083,DZA,1
2084,DZA,1
2085,DZA,1
2086,DZA,1
2087,DZA,1
2088,DZA,1
2089,DZA,1
2090,DZA,1
2091,DZA,1
2092,DZA,1
2093,DZA,1
2094,DZA,1
2095,DZA,1
2096,DZA,1
2097,DZA,2
2098,DZA,2
2099,DZA,1
2100,DZA,1
2101,DZA,1
2102,DZA,1
2103,DZA,1
2104,DZA,1
2105,DZA,1
2106,DZA,1
2107,DZA,1
2108,DZA,1
