OBJECTID,ISO,flood.freq.mean,drought.freq.mean
723,DZA,2.153846154,0
724,DZA,1,0
725,DZA,4,0
726,DZA,1,0
727,DZA,0,0
728,DZA,0,0
729,DZA,0,0
730,DZA,0,0
731,DZA,0,0
732,DZA,7,9
733,DZA,7,9
734,DZA,4,9
735,DZA,4,0
736,DZA,8,8
737,DZA,8,8
738,DZA,3.4,1.8
739,DZA,8,4
740,DZA,4,9
741,DZA,7.714285714,0
742,DZA,4,0
743,DZA,7,9
744,DZA,5.714285714,9
745,DZA,5.363636364,9
746,DZA,5.333333333,9
747,DZA,1.9,9
748,DZA,4,9
749,DZA,7,8
750,DZA,4,9
751,DZA,1,9
752,DZA,4,9
753,DZA,1,9
754,DZA,4,9
755,DZA,4,9
756,DZA,4,9
757,DZA,4,9
758,DZA,7,0
759,DZA,7,0
760,DZA,7,0
761,DZA,7,8
762,DZA,1.75,7.2
763,DZA,7,0
764,DZA,1.375,10
765,DZA,7,0
766,DZA,1,9
767,DZA,1,9
768,DZA,1,0
769,DZA,0,0
770,DZA,4,0
771,DZA,1,0
772,DZA,1.75,0
773,DZA,1,0
774,DZA,0,0
775,DZA,0,0
776,DZA,0,0
777,DZA,4,0
778,DZA,1,9
779,DZA,5.090909091,9
780,DZA,7,9
781,DZA,8,0
782,DZA,1,9
783,DZA,7,9
784,DZA,1,9
785,DZA,7,9
786,DZA,8,0
787,DZA,8,0
788,DZA,4,0
789,DZA,8,0
790,DZA,4,9
791,DZA,4,0
792,DZA,4,9
793,DZA,1,9
794,DZA,1,9
795,DZA,4,0
796,DZA,1,9
797,DZA,8,0
798,DZA,7,9
799,DZA,4,0
800,DZA,1,9
801,DZA,7,9
802,DZA,4,9
803,DZA,7,0
804,DZA,1,9
805,DZA,7,0
806,DZA,4,9
807,DZA,1,9
808,DZA,4,4.5
809,DZA,4,9
810,DZA,1,9
811,DZA,7,9
812,DZA,7,9
813,DZA,1,9
814,DZA,7,9
815,DZA,5.333333333,0
816,DZA,7,9
817,DZA,4,9
818,DZA,1,9
819,DZA,3.571428571,9.444444444
820,DZA,4,8.647058824
821,DZA,1,10
822,DZA,4,9
823,DZA,4,9
824,DZA,7,0
825,DZA,7,0
826,DZA,1,10
827,DZA,1,0
828,DZA,1,9
829,DZA,4,9
830,DZA,7,9
831,DZA,8,0
832,DZA,7,9
833,DZA,7,9
834,DZA,7,9
835,DZA,4,9
836,DZA,7,9
837,DZA,3.88,9
838,DZA,4,9
839,DZA,4,9
840,DZA,7,0
841,DZA,5.5,0
842,DZA,1,9
843,DZA,1,10
844,DZA,1,10
845,DZA,7,0
846,DZA,4,9
847,DZA,1,10
848,DZA,7,0
849,DZA,1.857142857,9
850,DZA,7,0
851,DZA,4,9
852,DZA,4,9
853,DZA,1,10
854,DZA,7,0
855,DZA,4,9
856,DZA,7,0
857,DZA,1,10
858,DZA,1,10
859,DZA,7,0
860,DZA,7,0
861,DZA,7,7.483870968
862,DZA,4,9
863,DZA,6.888888889,0
864,DZA,3.314285714,9
865,DZA,4,9
866,DZA,7,9
867,DZA,4,0
868,DZA,8,0
869,DZA,7,9
870,DZA,7,9
871,DZA,7,9
872,DZA,4,0
873,DZA,8,8
874,DZA,3.4,9
875,DZA,4.375,9
876,DZA,1,9
877,DZA,4,9
878,DZA,4.666666667,9
879,DZA,4,9
880,DZA,5.714285714,0
881,DZA,6.4,0
882,DZA,1,9
883,DZA,8,0
884,DZA,7,9
885,DZA,8,0
886,DZA,1,9
887,DZA,4,0
888,DZA,7,9
889,DZA,4,9
890,DZA,6.142857143,0
891,DZA,5.5,0
892,DZA,4,0
893,DZA,7,9
894,DZA,7,9
895,DZA,4,0
896,DZA,8,0
897,DZA,4,0
898,DZA,4,9
899,DZA,8,0
900,DZA,8,0
901,DZA,4,0
902,DZA,2.5,3
903,DZA,1,9
904,DZA,1,9
905,DZA,7,8
906,DZA,8,0
907,DZA,4,0
908,DZA,8,8
909,DZA,3.888888889,0.107142857
910,DZA,0.125,0.310344828
911,DZA,0.538461538,0
912,DZA,1,2.205880435
913,DZA,1.75,0
914,DZA,4,0
915,DZA,1,0
916,DZA,3.666666667,0
917,DZA,1,0
918,DZA,7,8
919,DZA,7,7.272727273
920,DZA,4,9
921,DZA,2.875,9.5
922,DZA,3.1,9
923,DZA,1,9
924,DZA,7,0
925,DZA,1,10
926,DZA,7,0
927,DZA,3.45,3
928,DZA,1,0
929,DZA,4,0
930,DZA,1,0
931,DZA,1,0
932,DZA,0,0
933,DZA,0,0
934,DZA,0,0
935,DZA,1,9
936,DZA,8,8
937,DZA,7,9
938,DZA,4,9
939,DZA,4,9
940,DZA,1,10
941,DZA,1,10
942,DZA,1,10
943,DZA,1,9
944,DZA,1,9
945,DZA,8,0
946,DZA,7,9
947,DZA,7,9
948,DZA,7,9
949,DZA,6,0
950,DZA,8,0
951,DZA,1,9
952,DZA,7,9
953,DZA,1,9
954,DZA,1,9
955,DZA,1.5,7.5
956,DZA,1,9
957,DZA,7,9
958,DZA,7,9
959,DZA,1,10
960,DZA,1,10
961,DZA,7,0
962,DZA,2.857142857,5.558823529
963,DZA,2.363636364,9.692307692
964,DZA,7,0
965,DZA,1,10
966,DZA,1,10
967,DZA,7,0
968,DZA,8,0
969,DZA,1,9
970,DZA,7,9
971,DZA,7,8
972,DZA,2.714285714,9
973,DZA,4,9
974,DZA,4,9
975,DZA,3.25,3.6
976,DZA,7,8
977,DZA,7,9
978,DZA,8,0
979,DZA,8,0
980,DZA,7,9
981,DZA,7,9
982,DZA,7,9
983,DZA,7,9
984,DZA,7,6
985,DZA,7,9
986,DZA,7,8
987,DZA,7,9
988,DZA,8,0
989,DZA,4,9
990,DZA,4,9
991,DZA,4,0
992,DZA,7,0
993,DZA,1,9
994,DZA,8,8
995,DZA,7,9
996,DZA,8,0
997,DZA,7,9
998,DZA,1,9
999,DZA,7,9
1000,DZA,8,0
1001,DZA,4,9
1002,DZA,4,9
1003,DZA,7,9
1004,DZA,7.9,1.454545455
1005,DZA,3.625,9
1006,DZA,1,9
1007,DZA,1.75,4.5
1008,DZA,5.714285714,9
1009,DZA,7.833333333,0
1010,DZA,4,0
1011,DZA,7.692307692,8
1012,DZA,4,9
1013,DZA,8,0
1014,DZA,8,0
1015,DZA,8,0
1016,DZA,8,0
1017,DZA,7,7.5
1018,DZA,8,0
1019,DZA,7,8
1020,DZA,8,0
1021,DZA,7,9
1022,DZA,1,9
1023,DZA,1,9
1024,DZA,1,9
1025,DZA,1,9
1026,DZA,4,9
1027,DZA,7,9
1028,DZA,4,9
1029,DZA,1,9
1030,DZA,7,9
1031,DZA,4,0
1032,DZA,4,9
1033,DZA,3.785714286,9
1034,DZA,6.4375,9
1035,DZA,4,9
1036,DZA,4,9
1037,DZA,1,9
1038,DZA,1,10
1039,DZA,1,9
1040,DZA,1.625,1.8
1041,DZA,5.409090909,0
1042,DZA,2.266666667,3.413793103
1043,DZA,3.7,9.125
1044,DZA,7,0
1045,DZA,1,10
1046,DZA,1,9
1047,DZA,1,10
1048,DZA,0.95,7.105263158
1049,DZA,7,0
1050,DZA,1,10
1051,DZA,2.488888889,4.090909091
1052,DZA,1.96875,1
1053,DZA,1,10
1054,DZA,2.113207547,0
1055,DZA,1,4.5
1056,DZA,0,0
1057,DZA,0,0
1058,DZA,0,0
1059,DZA,0,0
1060,DZA,0,0
1061,DZA,0,0
1062,DZA,0,0
1063,DZA,0,0
1064,DZA,0,0
1065,DZA,4,9
1066,DZA,7,9
1067,DZA,8,0
1068,DZA,8,0
1069,DZA,7,9
1070,DZA,1,9
1071,DZA,2.166666667,0
1072,DZA,8,0
1073,DZA,8,0
1074,DZA,4,0
1075,DZA,4,9
1076,DZA,7,9
1077,DZA,8,0
1078,DZA,4,9
1079,DZA,4,9
1080,DZA,4.428571429,3.375
1081,DZA,7,0
1082,DZA,7,0
1083,DZA,1,10
1084,DZA,7,9
1085,DZA,8,8
1086,DZA,4,9
1087,DZA,4,9
1088,DZA,7,9
1089,DZA,7,9
1090,DZA,7,9
1091,DZA,7,9
1092,DZA,4,9
1093,DZA,4,9
1094,DZA,7,9
1095,DZA,8,8
1096,DZA,1,9
1097,DZA,8,0
1098,DZA,1,9
1099,DZA,7,9
1100,DZA,7,9
1101,DZA,6.572641276,9
1102,DZA,1,9
1103,DZA,1.333333333,9
1104,DZA,7.166666667,0
1105,DZA,4,9
1106,DZA,7.095238095,0
1107,DZA,4,9
1108,DZA,1,10
1109,DZA,3.862068966,8.068965517
1110,DZA,1,10
1111,DZA,1,10
1112,DZA,1,9
1113,DZA,4,9
1114,DZA,7,0
1115,DZA,4,9
1116,DZA,1,10
1117,DZA,1,10
1118,DZA,7,8
1119,DZA,1,10
1120,DZA,1,9
1121,DZA,7,8
1122,DZA,7,0
1123,DZA,7,0
1124,DZA,7,0
1125,DZA,1,10
1126,DZA,1,10
1127,DZA,2,0
1128,DZA,1,0
1129,DZA,3.8,0
1130,DZA,4,0
1131,DZA,7,9
1132,DZA,7.076923077,8
1133,DZA,8,0
1134,DZA,8,0
1135,DZA,7,8
1136,DZA,4,0
1137,DZA,7,9
1138,DZA,1,9
1139,DZA,1,9
1140,DZA,1,9
1141,DZA,4,9
1142,DZA,4,9
1143,DZA,8,0
1144,DZA,8,8
1145,DZA,1,9
1146,DZA,1,9
1147,DZA,4,9
1148,DZA,8,8
1149,DZA,7,9
1150,DZA,6.923076923,6.666666667
1151,DZA,4.5,0
1152,DZA,3.333333333,0
1153,DZA,7.222222222,8
1154,DZA,8,0
1155,DZA,8,0
1156,DZA,8,0
1157,DZA,3.333333333,0
1158,DZA,5.333333333,5.333333333
1159,DZA,5.6,9
1160,DZA,8,0
1161,DZA,8,0
1162,DZA,1,9
1163,DZA,1,9
1164,DZA,8,0
1165,DZA,5,9
1166,DZA,1,9
1167,DZA,7,9
1168,DZA,8,0
1169,DZA,1,9
1170,DZA,1,9
1171,DZA,1,9
1172,DZA,8,8
1173,DZA,8,0
1174,DZA,8,0
1175,DZA,8,4.666666667
1176,DZA,1,8.181818182
1177,DZA,8,0
1178,DZA,7,9
1179,DZA,8,0
1180,DZA,1,9
1181,DZA,8,0
1182,DZA,7,8
1183,DZA,7,8
1184,DZA,1,9
1185,DZA,7.8,8
1186,DZA,7,8
1187,DZA,8,8
1188,DZA,8,8
1189,DZA,4,0
1190,DZA,7,9
1191,DZA,1,9
1192,DZA,7,9
1193,DZA,5.563985937,9
1194,DZA,7,9
1195,DZA,7,9
1196,DZA,4,0
1197,DZA,7,8
1198,DZA,8,0
1199,DZA,5,9
1200,DZA,7,3.305517084
1201,DZA,4,0
1202,DZA,4,0
1203,DZA,1,9
1204,DZA,1,9
1205,DZA,8,1.454545455
1206,DZA,1,9
1207,DZA,8,0
1208,DZA,7,9
1209,DZA,8,0
1210,DZA,8,0
1211,DZA,8,8
1212,DZA,1,9
1213,DZA,6.69668846,6.299747055
1214,DZA,8,8
1215,DZA,7,9
1216,DZA,7,8
1217,DZA,7,9
1218,DZA,7,9
1219,DZA,3.5,4.5
1220,DZA,1,9
1221,DZA,8,0
1222,DZA,7,8
1223,DZA,8,8
1224,DZA,7,9
1225,DZA,7,9
1226,DZA,2,6.75
1227,DZA,7,9
1228,DZA,4,0
1229,DZA,8,0
1230,DZA,1,9
1231,DZA,8,0
1232,DZA,8,0
1233,DZA,8,8
1234,DZA,7,9
1235,DZA,4,0
1236,DZA,7,9
1237,DZA,7,9
1238,DZA,7,9
1239,DZA,3,0
1240,DZA,7,9
1241,DZA,7,9
1242,DZA,1,9
1243,DZA,7,9
1244,DZA,7,8
1245,DZA,8,0
1246,DZA,4,0
1247,DZA,7,9
1248,DZA,8,8
1249,DZA,1,9
1250,DZA,7,9
1251,DZA,7.428571429,8
1252,DZA,7,9
1253,DZA,8,0
1254,DZA,7,9
1255,DZA,1,9
1256,DZA,7,9
1257,DZA,4,0
1258,DZA,1,9
1259,DZA,4,0
1260,DZA,7,9
1261,DZA,7,9
1262,DZA,8,0
1263,DZA,4,0
1264,DZA,8,0
1265,DZA,7,9
1266,DZA,7,9
1267,DZA,7,9
1268,DZA,1,9
1269,DZA,7,9
1270,DZA,7,9
1271,DZA,1,9
1272,DZA,8,0
1273,DZA,4,0
1274,DZA,1,9
1275,DZA,8,4
1276,DZA,7,9
1277,DZA,1,9
1278,DZA,7,9
1279,DZA,4,0
1280,DZA,7,9
1281,DZA,7,9
1282,DZA,8,2
1283,DZA,4,0
1284,DZA,1,9
1285,DZA,1,9
1286,DZA,4,0
1287,DZA,7,9
1288,DZA,4,9
1289,DZA,4,9
1290,DZA,8,0
1291,DZA,1,9
1292,DZA,1,9
1293,DZA,4,0
1294,DZA,8,0
1295,DZA,4.5,0
1296,DZA,8,0
1297,DZA,8,0
1298,DZA,8,0
1299,DZA,4,9
1300,DZA,7,9
1301,DZA,7,9
1302,DZA,1,9
1303,DZA,1,9
1304,DZA,7,8
1305,DZA,7.2,0
1306,DZA,1,9
1307,DZA,5.875,0
1308,DZA,4.428571429,9
1309,DZA,4,9
1310,DZA,4,9
1311,DZA,4,9
1312,DZA,7,8
1313,DZA,7,8
1314,DZA,1,9
1315,DZA,1.636363636,9
1316,DZA,1,9
1317,DZA,4,9
1318,DZA,7,6.4
1319,DZA,7,8
1320,DZA,1,7.5
1321,DZA,4,9
1322,DZA,4,9
1323,DZA,2.285714286,9
1324,DZA,4,9
1325,DZA,1,9
1326,DZA,7,0
1327,DZA,7,8
1328,DZA,7,0
1329,DZA,4,8.727272727
1330,DZA,7,8
1331,DZA,4,9
1332,DZA,7,9
1333,DZA,7,9
