OBJECTID,ISO,past.mean.perc,crop.mean.perc,land.conf,land.conf.norm
723,DZA,0.374800004,0.625199991,0.2343,0.9372
724,DZA,0.509400001,0.306499997,0.1561,0.6244
725,DZA,0.05175,0.125,0.0065,0.026
726,DZA,0.74000001,0.259999998,0.1924,0.7696
727,DZA,0.369000002,0,0,0
728,DZA,0.327555554,0,0,0
729,DZA,0.290225806,0,0,0
730,DZA,0.074320755,0,0,0
731,DZA,0.031272727,0,0,0
732,DZA,0,1,0,0
733,DZA,0.213999994,0.786000013,0.1682,0.6728
734,DZA,0.302666664,0.697333326,0.2111,0.8444
735,DZA,0.394749995,0.605249997,0.2389,0.9556
736,DZA,0.149666667,0.831999997,0.1245,0.498
737,DZA,0.0845,0.857499987,0.0725,0.29
738,DZA,0.520999983,0.478999987,0.2496,0.9984
739,DZA,0.166631284,0.818190931,0.1363,0.5452
740,DZA,0.559000015,0.441,0.2465,0.986
741,DZA,0.29549999,0.521000009,0.154,0.616
742,DZA,0.079666667,0.14866667,0.0118,0.0472
743,DZA,0.778499991,0,0,0
744,DZA,0.254500002,0.245499998,0.0625,0.25
745,DZA,0.183285717,0.816714287,0.1497,0.5988
746,DZA,0.565499991,0.434500001,0.2457,0.9828
747,DZA,0.432750002,0.502250001,0.2173,0.8692
748,DZA,0.224260029,0.77573998,0.174,0.696
749,DZA,0.216750002,0,0,0
750,DZA,0.034888888,0,0,0
751,DZA,0.390500009,0.609499998,0.238,0.952
752,DZA,0.024333333,0.975666662,0.0237,0.0948
753,DZA,0.280499995,0.688999981,0.1933,0.7732
754,DZA,0.488500014,0.511500016,0.2499,0.9996
755,DZA,0.202500001,0,0,0
756,DZA,0.100999998,0.121222222,0.0122,0.0488
757,DZA,0.214000007,0.333333333,0.0713,0.2852
758,DZA,0,0,0,0
759,DZA,0.108747934,0.539045014,0.0586,0.2344
760,DZA,0.612000003,0,0,0
761,DZA,0.276999993,0,0,0
762,DZA,0.30233333,0,0,0
763,DZA,1,0,0,0
764,DZA,0.374500012,0.625500008,0.2342,0.9368
765,DZA,0.209249998,0,0,0
766,DZA,0.8565,0.1435,0.1229,0.4916
767,DZA,0.397666673,0.417333335,0.166,0.664
768,DZA,0.349250004,0.650749996,0.2273,0.9092
769,DZA,0.756777783,0,0,0
770,DZA,0.267555555,0,0,0
771,DZA,0.335,0.331666668,0.1111,0.4444
772,DZA,0.119857145,0.199857141,0.024,0.096
773,DZA,0.330249995,0.25,0.0826,0.3304
774,DZA,0.445962963,0,0,0
775,DZA,0.248535212,0,0,0
776,DZA,0.276027027,0,0,0
777,DZA,0.172203768,0.827796249,0.1425,0.57
778,DZA,0.307986254,0.004556376,0.0014,0.0056
779,DZA,0.340750005,0.067750001,0.0231,0.0924
780,DZA,0.218999997,0.780999988,0.171,0.684
781,DZA,0.327666666,0.61133334,0.2003,0.8012
782,DZA,0.202426104,0.140924165,0.0285,0.114
783,DZA,0.084496494,0.915503516,0.0774,0.3096
784,DZA,0.346000001,0,0,0
785,DZA,0.227239892,0.772760108,0.1756,0.7024
786,DZA,0,1,0,0
787,DZA,0.0155,0.984500006,0.0153,0.0612
788,DZA,0.26051455,0.73948545,0.1926,0.7704
789,DZA,0.00037038,0.933081507,0.0003,0.0012
790,DZA,0.385333324,0.614666671,0.2369,0.9476
791,DZA,0.119666666,0.880333324,0.1053,0.4212
792,DZA,0.430999994,0.269499987,0.1162,0.4648
793,DZA,0.650999993,0.349000007,0.2272,0.9088
794,DZA,0.407000005,0.593000002,0.2414,0.9656
795,DZA,0.111,0.889000013,0.0987,0.3948
796,DZA,0.88499999,0.115000002,0.1018,0.4072
797,DZA,0.008548666,0.991451335,0.0085,0.034
798,DZA,0.651560415,0.198266985,0.1292,0.5168
799,DZA,0.611471821,0.388528174,0.2376,0.9504
800,DZA,0.635203959,0.364796053,0.2317,0.9268
801,DZA,0.696500018,0.288500011,0.2009,0.8036
802,DZA,0.776941932,0,0,0
803,DZA,0.272500008,0,0,0
804,DZA,0.439666669,0.460666656,0.2025,0.81
805,DZA,0.266999997,0.345250003,0.0922,0.3688
806,DZA,0.499816206,0.14202316,0.071,0.284
807,DZA,0.497666667,0.330666661,0.1646,0.6584
808,DZA,0.329293238,0.670706761,0.2209,0.8836
809,DZA,0.265500009,0.734500006,0.195,0.78
810,DZA,0.219456462,0.146056091,0.0321,0.1284
811,DZA,0.186246282,0.601161771,0.112,0.448
812,DZA,0,0.9264932,0,0
813,DZA,0.286799739,0.66579801,0.191,0.764
814,DZA,0.247285377,0.752363936,0.186,0.744
815,DZA,0.02744484,0.972555157,0.0267,0.1068
816,DZA,0.117000002,0.453999996,0.0531,0.2124
817,DZA,0.135666666,0.864333332,0.1173,0.4692
818,DZA,0.652612026,0.043461233,0.0284,0.1136
819,DZA,0.739000003,0.054666668,0.0404,0.1616
820,DZA,0.28669231,0,0,0
821,DZA,0,0,0,0
822,DZA,0.115500003,0.315499999,0.0364,0.1456
823,DZA,0.121799999,0.107000005,0.013,0.052
824,DZA,0.794666668,0,0,0
825,DZA,0,0,0,0
826,DZA,0.308333327,0.691666663,0.2133,0.8532
827,DZA,0.575666649,0.424333335,0.2443,0.9772
828,DZA,0.252499998,0.247500002,0.0625,0.25
829,DZA,0.080848626,0.919151367,0.0743,0.2972
830,DZA,0.473499984,0.456500001,0.2162,0.8648
831,DZA,0,0.747500002,0,0
832,DZA,0.23644065,0.68926477,0.163,0.652
833,DZA,0.004805072,0.072623301,0.0003,0.0012
834,DZA,0.032382679,0.689007826,0.0223,0.0892
835,DZA,0.533000007,0.046,0.0245,0.098
836,DZA,0.342000008,0.545000002,0.1864,0.7456
837,DZA,0.004285714,0,0,0
838,DZA,0.165522641,0.833276872,0.1379,0.5516
839,DZA,0.138262068,0.831818211,0.115,0.46
840,DZA,0.705500007,0,0,0
841,DZA,0,0.989845129,0,0
842,DZA,0.116666666,0.057666664,0.0067,0.0268
843,DZA,0.349000014,0.651000008,0.2272,0.9088
844,DZA,0.211804115,0.735627006,0.1558,0.6232
845,DZA,0.481999993,0,0,0
846,DZA,0.333333333,0.666666667,0.2222,0.8888
847,DZA,0.750893639,0.062960006,0.0473,0.1892
848,DZA,0.930500001,0,0,0
849,DZA,0.368400002,0.63160001,0.2327,0.9308
