OBJECTID,ISO,u5pop.mean,imr.mean.10000,imr.perc.mean,uw.count.sum,uw.perc.mean
723,DZA,2670.312447,510,0.051,42.90970252,0.047
724,DZA,5742.333984,510,0.051,539.7794037,0.047
725,DZA,2621.477444,510,0.051,95.81634424,0.047
726,DZA,10852.96973,415,0.0415,43.38564741,0.043
727,DZA,174.6307652,380,0.038,23.94504548,0.152
728,DZA,178.2930056,336.2993023,0.03362993,15.3854183,0.0807725
729,DZA,434.806076,380,0.038,264.3621216,0.152
730,DZA,166.3249618,380,0.038,707.8789368,0.152
731,DZA,116.9494845,380,0.038,106.6578789,0.152
732,DZA,13533.39377,300,0.03,60.83961659,0.038
733,DZA,11134.03027,300,0.03,55.58201832,0.038
734,DZA,12467.74397,300,0.03,105.4961909,0.038
735,DZA,14793.61607,370,0.037,171.6161227,0.046
736,DZA,7738.99115,370,0.037,94.27660787,0.046
737,DZA,7594.277415,370,0.037,54.64846985,0.046
738,DZA,15484.16926,359.0594698,0.035905947,84.37092583,0.044671622
739,DZA,7972.627619,370,0.037,43.16462569,0.046
740,DZA,12899.07923,300,0.03,49.7175514,0.038
741,DZA,7268.141399,370,0.037,65.77436204,0.046
742,DZA,10460.28623,301.3732898,0.030137329,69.62962668,0.038161564
743,DZA,7571.47204,302.0310616,0.030203106,29.76785872,0.038229276
744,DZA,7900.484254,310.4534048,0.03104534,57.62201358,0.039206162
745,DZA,8242.885699,302.5013936,0.030250139,204.2630502,0.038035536
746,DZA,6529.038732,300.4268605,0.030042686,55.32229888,0.038
747,DZA,9050.560005,395.9280149,0.039592801,108.8559401,0.042151473
748,DZA,11043.48542,393.0172224,0.039301722,57.00660361,0.042011
749,DZA,3062.967732,239.3525329,0.023935253,63.7909275,0.04643826
750,DZA,5860.568359,344.5,0.03445,502.9802094,0.043
751,DZA,8019.90524,369.9544126,0.036995441,33.88558474,0.041089528
752,DZA,9047.884741,509.9866548,0.050998665,121.8452666,0.04699954
753,DZA,7526.893315,437.7749252,0.043777493,82.78544509,0.043954627
754,DZA,15042.16992,510,0.051,103.5579789,0.047
755,DZA,5014.839541,302.8748841,0.030287488,61.91521593,0.038332126
756,DZA,6343.621582,300,0.03,482.1152954,0.038
757,DZA,7496.556214,302.4212254,0.030242123,94.0557625,0.038
758,DZA,6340.614273,370,0.037,151.6964744,0.046
759,DZA,5396.484735,370,0.037,47.48243301,0.046
760,DZA,5859.005633,370,0.037,64.90000655,0.046
761,DZA,3082.644213,370,0.037,38.39759198,0.046
762,DZA,5217.758234,367.5292714,0.036752927,56.37301054,0.046
763,DZA,5861.174562,370,0.037,62.80456606,0.046
764,DZA,10534.91126,510,0.051,100.1194152,0.047
765,DZA,4593.060226,370,0.037,75.07336842,0.046
766,DZA,3659.088178,510,0.051,61.89532458,0.047
767,DZA,4680.064218,510,0.051,80.65271892,0.047
768,DZA,6315.696777,510,0.051,143.5360508,0.047
769,DZA,1801.737857,300,0.03,63.72962801,0.038
770,DZA,2012.539429,510,0.051,189.708313,0.047
771,DZA,4727.193848,510,0.051,51.56085801,0.047
772,DZA,2573.212147,510,0.051,80.4573455,0.047
773,DZA,6229.714794,510,0.051,115.0395141,0.047
774,DZA,1812.031738,300,0.03,275.4287262,0.038
775,DZA,212.8056993,368.25,0.036825,223.0098,0.140875
776,DZA,94.72428894,380,0.038,57.59235954,0.152
777,DZA,14039.01458,370,0.037,62.44262906,0.046
778,DZA,24489.15004,300,0.03,51.75765677,0.038
779,DZA,9948.608509,300,0.03,123.6170596,0.038
780,DZA,68255.01199,300,0.03,392.4037645,0.038
781,DZA,10690.16412,370,0.037,156.9578616,0.046
782,DZA,24113.60731,300,0.03,25.26630682,0.038
783,DZA,6500.677075,300,0.03,20.80932164,0.038
784,DZA,20500.26518,300,0.03,40.49930284,0.038
785,DZA,8829.651191,300,0.03,22.07593095,0.038
786,DZA,25597.56412,370,0.037,207.3185296,0.046
787,DZA,21998.95375,370,0.037,211.6892447,0.046
788,DZA,14398.75977,351,0.0351,57.03222178,0.044
789,DZA,8191.971191,370,0.037,27.18088583,0.046
790,DZA,12180.53782,300,0.03,96.79413119,0.038
791,DZA,14858.08934,370,0.037,91.90396847,0.046
792,DZA,11194.2529,300,0.03,69.39562653,0.038
793,DZA,14576.7281,300,0.03,91.29901045,0.038
794,DZA,13998.15039,324,0.0324,78.66373352,0.041
795,DZA,14592.03878,369.1686183,0.036916862,176.4929294,0.045865574
796,DZA,16054.49171,300,0.03,55.54034893,0.038
797,DZA,21727.03009,370,0.037,74.35666992,0.046
798,DZA,9169.311523,300,0.03,39.1575133,0.038
799,DZA,14398.75977,351,0.0351,62.20003501,0.044
800,DZA,13998.15039,324,0.0324,54.90934615,0.041
801,DZA,12805.83331,300,0.03,90.4793654,0.038
802,DZA,6438.938068,300,0.03,21.05918739,0.038
803,DZA,10988.45515,370,0.037,116.9847707,0.046
804,DZA,9990.587044,415.1481068,0.041514811,120.1304573,0.043116807
805,DZA,9897.920316,370,0.037,160.6853067,0.046
806,DZA,6366.507813,300,0.03,24.46304642,0.038
807,DZA,7598.982225,404.0243198,0.040402432,59.86614146,0.042168574
808,DZA,13222.98047,510,0.051,19.61664635,0.047
809,DZA,13222.98047,510,0.051,58.4274153,0.047
810,DZA,24856.91579,300,0.03,78.56825155,0.038
811,DZA,22755.07031,300,0.03,79.18243048,0.038
812,DZA,6332.125,300,0.03,13.23335303,0.038
813,DZA,21955.50977,300,0.03,51.01683943,0.038
814,DZA,10872.58984,300,0.03,64.08598784,0.038
815,DZA,15997.05708,370,0.037,47.27280863,0.046
816,DZA,11163.56262,300,0.03,97.82198924,0.038
817,DZA,11272.12988,300,0.03,124.238501,0.038
818,DZA,14560.50442,320.1684021,0.03201684,70.35816988,0.04052105
819,DZA,8644.255398,510,0.051,88.98586516,0.047
820,DZA,1956.160833,335.3978557,0.033539786,115.1773581,0.042136429
821,DZA,7836.573117,510,0.051,49.73335599,0.047
822,DZA,6785.498611,510,0.051,101.928371,0.047
823,DZA,2337.742283,300.008701,0.03000087,53.28965761,0.038
824,DZA,2519.734439,370,0.037,31.1065474,0.046
825,DZA,6188.695397,370,0.037,35.06921395,0.046
826,DZA,13707.86964,510,0.051,228.9709159,0.047
827,DZA,4601.177648,510,0.051,45.38897955,0.047
828,DZA,21865.44152,300,0.03,43.90318195,0.038
829,DZA,24902.05086,300,0.03,26.48438295,0.038
830,DZA,19890.42965,300,0.03,62.73436063,0.038
831,DZA,10586.73018,370,0.037,51.86272021,0.046
832,DZA,46172.12918,300,0.03,200.5401501,0.038
833,DZA,18846.21331,300,0.03,18.11663819,0.038
834,DZA,18828.85938,300,0.03,28.45910012,0.038
835,DZA,6732.908317,300,0.03,25.00955163,0.038
836,DZA,113001.2854,300,0.03,505.7697276,0.038
837,DZA,6402.435635,313.2652981,0.03132653,169.3265235,0.03852919
838,DZA,12270.41518,510,0.051,55.51629719,0.047
839,DZA,12175.61504,510,0.051,70.05056988,0.047
840,DZA,8035.06778,370,0.037,37.40627237,0.046
841,DZA,9931.455277,366.5063191,0.036650632,51.07015354,0.045647834
842,DZA,5735.589145,490.4917241,0.049049172,69.06115929,0.0461506
843,DZA,11260.09007,510,0.051,156.6343487,0.047
844,DZA,16249.03175,510,0.051,44.91243095,0.047
845,DZA,5504.054188,370,0.037,61.49889452,0.046
846,DZA,6637.729637,510,0.051,74.05076411,0.047
847,DZA,8511.876953,510,0.051,61.56454319,0.047
848,DZA,4819.233887,370,0.037,55.43441891,0.046
849,DZA,2625.606934,510,0.051,59.09670846,0.047
850,DZA,2464.900879,370,0.037,5.676762824,0.046
851,DZA,3264.302989,510,0.051,52.2880522,0.047
852,DZA,8511.876953,510,0.051,64.98697459,0.047
853,DZA,8746.665039,510,0.051,28.70996848,0.047
854,DZA,5869.887207,370,0.037,74.31391063,0.046
855,DZA,5904.31776,510,0.051,105.4621024,0.047
856,DZA,5214.781059,370,0.037,41.81442948,0.046768476
857,DZA,8414.195835,510,0.051,79.74546016,0.047
858,DZA,3436.926341,510,0.051,17.23776405,0.047
859,DZA,2485.331167,370,0.037,74.25595195,0.046
860,DZA,5697.921301,370.0664047,0.03700664,84.88853614,0.04782251
861,DZA,3095.755468,370,0.037,118.5347097,0.046
862,DZA,8490.936204,510,0.051,32.07180298,0.047
863,DZA,4588.810425,375,0.0375,844.1234741,0.0955
864,DZA,3440.864033,370,0.037,144.6709444,0.046
865,DZA,11946.35867,300,0.03,98.61389307,0.038
866,DZA,8764.464844,300,0.03,29.81610792,0.038
867,DZA,16014.86035,363,0.0363,82.87791947,0.045
868,DZA,24102.32361,370,0.037,129.5003956,0.046
869,DZA,9169.311523,300,0.03,44.93025692,0.038
870,DZA,10872.58984,300,0.03,24.60115054,0.038
871,DZA,21664.58424,300,0.03,82.29478559,0.038
872,DZA,14617.28027,370,0.037,82.14037061,0.046
873,DZA,7509.470442,365.9124652,0.036591247,122.7173473,0.045946915
874,DZA,11255.41661,379.1212284,0.037912123,50.27921987,0.041519097
875,DZA,6491.888193,300.8940346,0.030089403,58.23811531,0.038
876,DZA,5751.726865,358.1112669,0.035811127,49.62305421,0.044456807
877,DZA,9628.079271,510,0.051,31.33465754,0.047
878,DZA,7250.771468,319.7461308,0.031974613,75.49167536,0.040508443
879,DZA,12526.3667,509.1401452,0.050914015,81.12027758,0.047
880,DZA,14267.25361,369.2519761,0.036925198,119.9437048,0.045850395
881,DZA,9950.620537,370,0.037,106.1141274,0.046
882,DZA,5081.381246,359.5932668,0.035959327,58.23911165,0.044800697
883,DZA,14035.07894,370,0.037,208.2859025,0.046
884,DZA,22746.29467,300,0.03,128.7594499,0.038
885,DZA,14044.8656,370,0.037,85.11509603,0.046
886,DZA,22160.17758,300,0.03,52.33667426,0.038
887,DZA,11641.71826,305.5263944,0.030552639,33.46665283,0.038305279
888,DZA,161764.1625,300,0.03,550.0298257,0.038
889,DZA,14289.4264,510,0.051,104.9722582,0.047
890,DZA,11303.1944,370,0.037,97.14265209,0.046
891,DZA,14000.09649,361.4257181,0.036142572,141.9833531,0.044997341
892,DZA,14486.94043,370,0.037,111.116103,0.046
893,DZA,10969.15714,300,0.03,85.25223303,0.038
894,DZA,20726.46094,300,0.03,155.6524655,0.038
895,DZA,14617.28027,370,0.037,66.78578181,0.046
896,DZA,17207.35765,370,0.037,60.8867619,0.046
897,DZA,16014.86035,363,0.0363,102.1987907,0.045
898,DZA,11018.08499,300,0.03,70.24185743,0.038
899,DZA,14858.50977,370,0.037,101.9639756,0.046
900,DZA,19151.35271,370,0.037,368.732076,0.046
901,DZA,7044.114358,370,0.037,30.60179968,0.046
902,DZA,3399.896904,207.1681702,0.020716817,24.98199975,0.026149831
903,DZA,14727.4502,300,0.03,31.95348083,0.038
904,DZA,15338.14563,300,0.03,53.85442343,0.038
905,DZA,6882.71388,249.8021286,0.024980213,56.71049778,0.045
906,DZA,13831.08039,370,0.037,177.3278694,0.046
907,DZA,5808.095622,370,0.037,26.89993473,0.046
908,DZA,7732.674587,370,0.037,36.13684846,0.046
909,DZA,2634.014974,496,0.0496,459.5164948,0.058333333
910,DZA,2688.004344,378.6215015,0.03786215,257.4852938,0.137283523
911,DZA,2478.70904,370,0.037,73.73540964,0.046
912,DZA,6029.310026,510,0.051,14.90604495,0.047
913,DZA,2449.783716,370,0.037,62.35569174,0.046
914,DZA,2920.998166,510,0.051,44.86238173,0.047
915,DZA,2899.255048,510,0.051,95.13767284,0.047
916,DZA,2642.162158,510,0.051,52.64492333,0.047
917,DZA,4684.583287,510,0.051,31.8136142,0.047
918,DZA,4348.520711,370,0.037,58.53567397,0.046
919,DZA,4757.944709,370,0.037,68.48711382,0.046
920,DZA,9327.091056,510,0.051,83.73182457,0.047
921,DZA,10083.68434,510,0.051,92.89414298,0.047
922,DZA,6433.890481,510,0.051,85.93130664,0.047
923,DZA,4655.487704,510,0.051,56.64180336,0.047
